,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25
12580,-7.0365605,2.8332634,-5.0013275,0.13826151,-0.39131737,-2.8695607,-3.4862096,2.6529238,-2.0172048,-1.5884836,4.137831,2.6211674,2.7834287,-3.8463311,-4.5654535,-2.2056563,-0.489524,-2.182347,-5.5101366,3.405866,-0.38774332,2.3872168,-2.584153,2.0194137,-4.16268
12068,-11.683119,19.052216,1.6916585,2.3289142,0.73674697,-0.41975954,-5.11695,-4.4966116,1.5051883,0.43326685,-2.4347532,1.8908733,5.218351,-4.9275603,-2.5330038,-3.2245183,2.9828079,-1.5559753,-2.9469202,1.5727232,4.2260575,1.8645182,0.82896674,-0.12570754,0.9405581
12047,-5.461923,-3.0520353,2.0517373,-4.1972785,9.919241,-0.49091044,3.846182,0.5836104,0.6339285,-3.5712955,6.33824,-3.6180346,-5.45497,-5.9550214,-4.599998,6.8462543,-1.9206045,-0.479697,-2.1845737,-3.3750584,-1.926173,-2.8601267,5.214783,-3.260902,-2.188149
12384,0.5085176,-4.142845,2.8609982,15.639026,5.092268,0.9221466,-3.0603247,-0.27645802,0.49986538,0.538485,2.1046922,-0.25997135,-4.520856,-1.3032874,-0.43866497,1.5538243,1.799112,-0.68134123,3.2425215,-3.3426893,1.4888921,-1.589816,-0.958601,0.19461395,3.1081345
12492,-5.0693913,1.6594809,-2.699224,-0.021479825,-3.9823554,6.012115,2.1721537,7.9884176,5.602422,-0.4488111,3.1043768,-2.7183256,0.8067821,2.2075076,1.65039,-3.7416291,-2.4521925,2.4707448,1.7785679,2.8208482,1.8700821,-3.7281713,5.01866,-2.1762915,-1.6070219
12413,-5.3648443,1.284924,1.2491902,-2.850636,5.6801677,2.6411388,3.5350082,-2.856618,-4.119934,2.3297603,4.4068656,-5.289005,-2.7371702,0.34991562,-0.6884828,-3.613924,1.2973633,-4.148655,-1.8137873,0.20408662,-1.2895085,-0.983843,-2.0121295,-2.1315265,2.1617434
12090,-5.9256225,-3.4341931,-0.48022726,1.3649479,-1.8717115,1.4065428,-1.8556706,3.9817033,2.474044,3.5405855,-3.4359787,6.2862635,8.753044,0.33699107,0.302387,1.5196193,13.681416,-2.5236638,-5.34371,-2.64576,2.165436,-2.2361472,-2.3027935,-2.6472569,-1.8360211
18352,-11.546689,19.105513,1.574054,-0.56081426,2.420802,-0.68400466,-2.4826121,-1.3007542,2.0526605,1.7794251,-4.4957747,-5.54461,1.2824742,-1.2368231,-4.626836,-2.9171722,2.122612,1.9429584,-2.9569182,-0.6369301,1.4569732,-2.0867255,2.0222182,-2.2978127,-3.877156
18316,-8.371234,4.4250536,-9.765182,-0.64329517,-4.911119,-7.0963073,-3.4292078,3.579138,-5.0232,2.5821192,0.12851505,-3.040537,-3.7934296,3.7472785,-4.017942,2.9613166,-6.010991,0.116032965,-1.5434046,1.0319843,-1.3090765,5.4374886,-0.8308013,-2.597186,-0.86158216
18366,2.2567942,-4.9617043,8.396649,0.5015692,4.603714,-2.6907895,1.0596061,1.2386914,1.3502795,0.21419744,1.4788601,-2.5700119,1.4142855,0.5853698,0.59826183,1.2136657,1.7664794,4.0080795,0.9126017,0.17558038,0.9737097,3.2025175,-2.0157387,-3.3370225,2.1269505
18140,-5.99921,-3.7209215,-3.73517,1.3264571,-7.078717,6.3843737,7.4825296,3.9547958,-0.88547045,1.7515438,-8.009737,8.612053,-5.8428726,-1.3485848,3.8502114,-3.6819544,-0.47231653,1.0624733,1.348965,2.481227,0.57204974,2.392188,1.883116,1.876189,-1.4323467
18294,-3.2236967,-7.3851876,-1.846008,-2.0968542,7.861616,-0.43512365,2.7950697,-0.0975242,3.934183,2.0629134,-2.0805628,-2.3104131,0.30070728,-0.7778381,-4.064628,3.1010218,-5.481112,-1.505436,-0.6238657,0.92265695,1.6928138,5.769252,-3.2662232,0.15305428,2.99627
